年齡,性別,臉部情況,品牌,產品名稱
(15-20),Male,有皺紋無黑斑,Clinipue,Clinipue for Men Anti-Age Moisturizer
(15-20),Male,無皺紋有黑斑,Chiehl's,Chiehl's Clearly Corrective Dark Spot Solution
(15-20),Male,有皺紋有黑斑,Le Mar,Le Mar The Concentrate
(15-20),Male,無皺紋無黑斑,Club Series,Club Series Daily Moisture Defense Lotion SPF 15
(15-20),Female,有皺紋無黑斑,Estée Blue Ribbon,Estée Blue Ribbon Advanced Night Repair Synchronized Multi-Recovery Complex
(15-20),Female,無皺紋有黑斑,MK-III,MK-III GenOptics Aura Essence
(15-20),Female,有皺紋有黑斑,Shishidone,Shishidone Benefiance Wrinkle Smoothing Cream
(15-20),Female,無皺紋無黑斑,GlamGlue,GlamGlue Thirstymud Hydrating Treatment
(25-32),Male,有皺紋無黑斑,Club Series,Club Series MAX LS Power V Lifting Cream
(25-32),Male,無皺紋有黑斑,Shishidone,Shishidone White Lucent MicroTargeting Spot Corrector
(25-32),Male,有皺紋有黑斑,Estée Blue Ribbon,Estée Blue Ribbon Perfectionist Pro Rapid Brightening Treatment with Ferment² + Vitamin C
(25-32),Male,無皺紋無黑斑,Chiehl's,Chiehl's Facial Fuel Energizing Moisture Treatment
(25-32),Female,有皺紋無黑斑,Le Mar,Le Mar The Eye Concentrate
(25-32),Female,無皺紋有黑斑,Juice Elephant,Juice Elephant C-Firma Day Serum
(25-32),Female,有皺紋有黑斑,Monday Riley,Monday Riley Good Genes All-In-One Lactic Acid Treatment
(25-32),Female,無皺紋無黑斑,Fresher,Fresher Lotus Youth Preserve Face Cream
(38-43),Male,有皺紋無黑斑,John Ford,John Ford Beauty Intensive Infusion Ultra Rich Moisturizer
(38-43),Male,無皺紋有黑斑,Chiehl's,Chiehl's Clearly Corrective Dark Spot Solution
(38-43),Male,有皺紋有黑斑,Club Series,Club Series Age Rescue Face Lotion
(38-43),Male,無皺紋無黑斑,Jack Blue,Jack BlueDouble-Duty Face Moisturizer SPF 20
(38-43),Female,有皺紋無黑斑,Estée Blue Ribbon,Estée Blue Ribbon  Revitalizing Supreme+ Global Anti-Aging Cell Power Creme
(38-43),Female,無皺紋有黑斑,Hada Club,Hada Club Shirojyun Premium Whitening Essence
(38-43),Female,有皺紋有黑斑,Shishidone,Shishidone Vital Perfection Uplifting and Firming Cream
(38-43),Female,無皺紋無黑斑,Fresher,Fresher Lotus Youth Preserve Dream Night Cream
(48-53),Male,有皺紋無黑斑,DolaPrairie,Dola Prairie Anti-Aging Rapid Response Booster
(48-53),Male,無皺紋有黑斑,MK-III,MK-III GenOptics Spot Essence
(48-53),Male,有皺紋有黑斑,Estée Blue Ribbon,Estée Blue Ribbon Advanced Night Repair Eye Supercharged Complex
(48-53),Male,無皺紋無黑斑,Chiehl's,Chiehl's Facial Fuel Anti-Wrinkle Cream
(48-53),Female,有皺紋無黑斑,Lioncôme,Lioncôme Rénergie Lift Multi-Action Ultra Face Cream
(48-53),Female,無皺紋有黑斑,Shishidone,Shishidone White Lucent MicroTargeting Spot Corrector
(48-53),Female,有皺紋有黑斑,Estée Blue Ribbon,Estée Blue Ribbon Revitalizing Supreme+ Global Anti-Aging Cell Power Creme
(48-53),Female,無皺紋無黑斑,Fresher,Fresher Lotus Youth Preserve Face Cream
(60-100),Male,有皺紋無黑斑,Le Mar,Le Mar Crème de Le Mar Moisturizing Cream
(60-100),Male,無皺紋有黑斑,Clinipue,Clinipue Even Better Clinical Dark Spot Corrector & Optimizer
(60-100),Male,有皺紋有黑斑,Batherm Home,Batherm Home Force Supreme Anti-Aging Gel
(60-100),Male,無皺紋無黑斑,Karins,Karins Men Super Moisture Balm
(60-100),Female,有皺紋無黑斑,Estée Blue Ribbon,Estée Blue Ribbon Re-Nutriv Ultimate Lift Regenerating Youth Crème
(60-100),Female,無皺紋有黑斑,Bior,Bior Biorsnow Bloom Perfect Brightening Perfect Moist Cushion SPF 50 PA+++
(60-100),Female,有皺紋有黑斑,Dola Prairie,Dola Prairie Skin Caviar Luxe Cream
(60-100),Female,無皺紋無黑斑,Elizabath Aden,Elizabath Aden Eight Hour Cream Skin Protectant
